test_idx,y_true,seq_to_seq,seq_to_clin,clin_to_seq,clin_to_clin
635,1,0.999999,1e-06,1.0,0.0
3244,0,1.0,0.0,0.0,1.0
4815,1,1.0,0.0,1.0,0.0
225,1,1.0,0.0,0.997752,0.002248
93,1,1.0,0.0,0.0,1.0
4599,1,1.0,0.0,1.0,0.0
3081,0,0.898445,0.101555,0.885313,0.114687
2148,1,1.0,0.0,0.0,1.0
3989,1,0.99997,3e-05,1.0,0.0
4,0,1.0,0.0,0.0,1.0
5010,1,0.999904,9.6e-05,1.0,0.0
3239,1,1.0,0.0,0.0,1.0
2099,1,1.0,0.0,0.0,1.0
2359,1,0.99996,4e-05,1.0,0.0
1827,0,1.0,0.0,0.0,1.0
2538,0,1.0,0.0,1.7e-05,0.999983
2383,1,1.0,0.0,0.0,1.0
4522,1,0.999976,2.4e-05,1.0,0.0
1692,1,1.0,0.0,0.0,1.0
5048,1,1.0,0.0,0.0,1.0
5049,1,3e-06,0.999997,0.000922,0.999078
4714,1,0.999998,2e-06,1.0,0.0
5963,1,1.0,0.0,1.0,0.0
5487,1,1.0,0.0,1.0,0.0
67,1,1.0,0.0,1.0,0.0
532,0,1.0,0.0,0.0,1.0
1469,1,1.0,0.0,1.0,0.0
